Company Name,Type,Contact Number,Website
KR Cable Trays,Manufacturer,098430 10098,http://www.krpower.in/
Sri Vinayaga Electrical Works,Construction equipment supplier,,
Netra Traderss,Electrical supply store,099521 05222,
Vel Tech Industries,Industrial equipment supplier,090470 61724,
Welltech Control Systems -Panel Board manufacturers,Electronics manufacturer,094431 25719,http://www.welltechcontrol.in/
R.S. CONTROLS,Electrical equipment supplier,094436 75861,
Deepak Electronic Control Device,Automation company,093632 00119,http://decod65.co.in/
DRS Home Equipments. Astra Grinders,Manufacturer,094877 11032,http://www.wetgrinder.in/
Gorlan India Switchgears Pvt Ltd,Electrical equipment supplier,0422 437 6841,http://www.india.gorlan.com/
"Girias Sivanandapuram Branch - Electronics and Home Appliances Store - Buy Latest Smartphones, Laptops, Smart TV, AC",Appliance store,089398 03222,http://www.giriasindia.com/
"IBO - Saravanampatti, Coimbatore",Electrical supply store,1800 572 8344,https://www.ibo.com/
EVERGREEN TRANSMISSION- NORD DRIVESYSTEMS,Electric motor store,090037 90287,http://evergreentransmission.in/
Perfect Engineering Solutions | Distributor of Electric Motors | Geared Motors | Gearbox | VFD & Industrial Products,Industrial equipment supplier,099419 99883,http://perfectengineeringsolutions.com/
Powermag Control Systems Pvt. Ltd.,Automation company,0422 253 2013,https://www.powermag.in/
KRISHNA INDUSTRIES | Kitchen Equipments Manufacturer,Manufacturer,091715 85789,
LAKSHMI HAMSA SYSTEMS,Manufacturer,093456 90778,http://lakshmihamsasystems.com/
Santhosh Industries,Manufacturer,082208 95049,https://www.instagram.com/santhos_industries?igsh=MXI4aGR6a29jN3hheA==
NOBEL GROUPS,Electrical installation service,099947 59801,
Vetal Textiles And Electronics Private Limited - Unit 2,Electronics Company,0422 403 0500,http://vetal.com/
Micro Fab Engineers,Machining manufacturer,099443 12184,https://www.microfabengineer.com/
Thermicraft Industries,Manufacturer,098430 49487,http://www.thermicraft.com/
SAFVOLT,Electrical equipment supplier,098439 98437,https://www.switchgearpanels.com/
Zion Electrical & Plumbing Solutions,Contractor,063815 61136,
Usha Electricals and hardware,Electrical supply store,094426 50164,
Able Electronic Services,Electronics manufacturer,098422 49398,http://www.ableelectronics.in/
Royal Laks Industriess,Electrical equipment supplier,,https://www.indiamart.com/royallaksindustries/
Sara Water Technologies -Industrial RO Plant DM Plant Softener Water Treatment chemicals Manufacturer in Coimbatore,Water treatment plant,098407 46847,http://www.sarawatertech.com/
Surfine Tools - Precision Manufacturers Coimbatore,Machinery parts manufacturer,082200 07569,https://www.surfine.co.in/
Trident Engineers | Rishab Grinder,Food machinery supplier,095009 88122,https://rishabgrinder.com/
GLOBAL KITCHEN EQUIPMENTS COMPANY (FACTORY),Food processing equipment,097861 00581,http://kitchenequipment.in/
Atmos Machinery Manufacturers,Manufacturer,090878 99989,https://www.atmosmachinerymfrs.com/
SS Automation & Packaging Machines,Manufacturer,098424 38378,http://www.inpak.in/
Nexus Automation Solutions,Automation company,095979 12908,https://www.nexusautomations.com/
COBURG EQUIPMENTS PRIVATE LIMITED,Air compressor supplier,097906 44999,http://www.coburg.in/
Variac Electricals,Electrical equipment supplier,080 4604 1090,https://www.variac.in/
Sri Krish Automation,Automation company,097900 44607,http://srikrishautomation.com/
"GTS ENVIRO INDIA PVT LTD - ZLD ETP/STP/WTP, Filter Press, Wet Scrubber Manufacturers in Coimbatore",Sewage treatment plant,098430 30427,https://gtsenviro.com/
Global Kitchen Equipments Company (SHOWROOM),Food machinery supplier,097861 00581,http://www.globalkitchenindia.com/
GRP INDUSTRIES,Electrical equipment supplier,096882 70042,
Smile Laser Cutting & Bending – Precision Manufacturing Division of Smile 3D Tech,Laser Cutting Service Provider,063813 59994,https://www.smile3dtech.com/
TRAVANCORE ELECTRICAL CORPORATION (TRAELECOR),Manufacturer,095671 11478,
ES Industries Showroom,Machining manufacturer,094433 28354,https://www.esimix.com/
Spectra Energy Services,Solar energy equipment supplier,099944 44249,http://www.spectraenergyservices.com/
Sri Meenakshi Electricals,Electrical supply store,0422 223 3028,
Prema Industries Commercial Kitchen Equipment,Manufacturer,098422 52076,http://www.premaindustries.com/
ARRUTHRA FOOD MACHINES FACTORY,Food machinery supplier,099433 80909,https://www.arruthrafoodmachinery.com/
Alin Welding & Electrical Works,Welding supply store,099946 68734,
