Company Name,Type,Contact Number,Website,
Atmos Machinery Manufacturers,Manufacturer,090878 99989,https://www.atmosmachinerymfrs.com/,
Ganapathy Agro Industries,Manufacturer,099525 00876,https://www.jawansprayers.com/,
C.S.R Industries,Water Pump Supplier,090474 38316,https://www.csrindustries.in/,
Integral Weighing Solutions,Weighing Scale Supplier,093448 22211,http://www.integralweighing.com/,
NOBEL GROUPS,Electrical installation service,099947 59801,,
SS Automation & Packaging Machines,Supplier,098424 38378,http://www.inpak.in/,
Deccan Industries,Manufacturer,0422 253 1242,https://www.deccanindustries.com/,
Infiniti Automation,Automation company,081243 45786,http://www.iotbuzz.in/,
Seenu Industries,Air compressor supplier,097900 15149,http://www.seenucompressor.com/,
Sri Ganapathy Electricals,Industrial consultant,081899 59989,http://www.sriganapathyelectricals.com/,
KUMAR INDUSTRIES,Appliance store,097895 17516,,
Lakshmi Electrical Drives Private Limited,Manufacturer,0422 663 1101,http://www.ledl.in/,
Eagle Digital Scales,Weighing Scale Supplier,093454 18851,http://eagledigitalscales.com/,
Prema Industries Commercial Kitchen Equipment,Manufacturer,098422 52076,http://www.premaindustries.com/,
JK Industries-Service Centre - CRI PUMPS,Pump supplier,098422 50024,,
PERIYANAYAKI KITCHEN ENGINEERING,Corporate office,096778 43651,http://periyanayakikitchenengineering.com/,
Gokul Electronic Enterprises,Electronic parts supplier,0422 230 2876,,
Total Store - Hardman Tools,Tool store,095669 44470,https://l.instagram.com/?u=https%3A%2F%2Fwa.me%2Fmessage%2F34ZITOIK5G56L1%3Futm_source%3Dig%26utm_medium%3Dsocial%26utm_content%3Dlink_in_bio%26fbclid%3DPAZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAGnaIcoS5kH_MdeZ33lZQNN8lWFkQd95xREJYY4FPlao51HKTRTpctCUc2QFT8_aem_nrgVrgCAa9LA3xRkWOkLxw&e=AT17ASjNY1GtQ4We-TjQjTWLAvDzIsgIi9Hl7a_3ytN0DiBs2tZaWxP9oVlSjucs6ct-Cygg6ZDhcosXiWNEIXzuEUC3p70yA4qerGMl7pligGtEpsQMoYhpcw,
KPK Engineering,Manufacturer,,,
